instant,g1,g2,g3,g4,g5,l1,l2,l3,l4,l5
2017-10-26T23:00:00Z,TATACONSUM.NS,BAJFINANCE.NS,ONGC.NS,CIPLA.NS,TCS.NS,BHARTIARTL.NS,RELIANCE.NS,WIPRO.NS,NTPC.NS,COALINDIA.NS
2018-05-08T23:00:00Z,TITAN.NS,TCS.NS,TATASTEEL.NS,RELIANCE.NS,HDFCLIFE.NS,ULTRACEMCO.NS,SHREECEM.NS,BAJFINANCE.NS,WIPRO.NS,ICICIBANK.NS
2021-01-19T00:00:00Z,BAJAJFINSV.NS,BAJFINANCE.NS,HINDALCO.NS,GRASIM.NS,CIPLA.NS,TECHM.NS,ITC.NS,TATACONSUM.NS,WIPRO.NS,BRITANNIA.NS
2019-09-11T23:00:00Z,ULTRACEMCO.NS,ICICIBANK.NS,HINDALCO.NS,INDUSINDBK.NS,TATACONSUM.NS,MARUTI.NS,BHARTIARTL.NS,RELIANCE.NS,BAJAJ-AUTO.NS,NTPC.NS
2016-01-05T00:00:00Z,TATASTEEL.NS,TATACONSUM.NS,HINDALCO.NS,ONGC.NS,TECHM.NS,COALINDIA.NS,TITAN.NS,BHARTIARTL.NS,BAJFINANCE.NS,TCS.NS
2017-11-20T00:00:00Z,TATACONSUM.NS,HDFCLIFE.NS,COALINDIA.NS,KOTAKBANK.NS,NTPC.NS,SHREECEM.NS,ICICIBANK.NS,ULTRACEMCO.NS,TECHM.NS,CIPLA.NS
2017-07-11T23:00:00Z,BAJAJFINSV.NS,TATACONSUM.NS,BAJFINANCE.NS,ONGC.NS,RELIANCE.NS,TCS.NS,HEROMOTOCO.NS,ITC.NS,COALINDIA.NS,BAJAJ-AUTO.NS
2016-09-25T23:00:00Z,COALINDIA.NS,RELIANCE.NS,SHREECEM.NS,NESTLEIND.NS,TCS.NS,ONGC.NS,ICICIBANK.NS,NTPC.NS,ITC.NS,LT.NS
2018-12-21T00:00:00Z,TATACONSUM.NS,COALINDIA.NS,NTPC.NS,HINDALCO.NS,BAJFINANCE.NS,MARUTI.NS,WIPRO.NS,TCS.NS,TITAN.NS,BHARTIARTL.NS
2018-03-07T00:00:00Z,ITC.NS,BRITANNIA.NS,TITAN.NS,MARUTI.NS,KOTAKBANK.NS,BAJAJFINSV.NS,ICICIBANK.NS,SHREECEM.NS,BHARTIARTL.NS,RELIANCE.NS
